FUND CODE,FUND NAME,SUBFUND CCY,NAV DATE,ACC NUMBER,INTERNAL NUMBER,ISIN CODE,INSTRUMENT NAME,CURRENCY,QUANTITY,MARKET VALUE IN FD CCY,MARKET VALUE IN SEC CCY,TNA,% NAV,%PORTFOLIO,ID BLOOMBERG,NEXT COUPON DATE,VALUATION PRICE,MARKET PRICE,LAST COUPON DATE,ACCRUED INT FD CCY,ACCRUED INT.,NUMBER OF ACCRUED DAYS,INVESTMENT TYPE,GEOGRAPHICAL SECTOR,ECONOMIC SECTOR CODE,ECONOMIC SECTOR LABEL
LU1737,Shelter-Invest Real Estate Low Vol Fd,EUR,20151229,264135  00,,,Transfer Agency Fee,EUR,0.00,-166.42,-166.42,44094283.63,            -0.00,-0.000377,,99991231,100.000000,-0.000377419,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1737,Shelter-Invest Real Estate Low Vol Fd,EUR,20151229,264528  00,,,Financial Statements,EUR,0.00,-2863.64,-2863.64,44094283.63,            -0.01,-0.006494,,99991231,100.000000,-0.006494357,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1737,Shelter-Invest Real Estate Low Vol Fd,EUR,20151229,268203  00,,,Marketing Expenses,EUR,0.00,-344.84,-344.84,44094283.63,            -0.00,-0.000782,,99991231,100.000000,-0.000782051,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1737,Shelter-Invest Real Estate Low Vol Fd,EUR,20151229,268100  00,,,Directors Fees,EUR,0.00,-316.78,-316.78,44094283.63,            -0.00,-0.000718,,99991231,100.000000,-0.000718415,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1737,Shelter-Invest Real Estate Low Vol Fd,EUR,20151229,268120  00,,,Audit Fees,EUR,0.00,-7627.91,-7627.91,44094283.63,            -0.02,-0.017299,,99991231,100.000000,-0.017299090,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1737,Shelter-Invest Real Estate Low Vol Fd,NOK,20151229,152001  00,,,Int.Rec.Bank Accounts,EUR,0.00,-0.26,-2.49,44094283.63,            -0.00,-0.000001,,99991231,100.000000,-0.000000590,99991231,             0.00,0.00,,,,,600 RECEIVABLES
LU1737,Shelter-Invest Real Estate Low Vol Fd,SEK,20151229,152001  00,,,Int.Rec.Bank Accounts,EUR,0.00,-0.21,-1.96,44094283.63,            -0.00,-0.000000,,99991231,100.000000,-0.000000476,99991231,             0.00,0.00,,,,,600 RECEIVABLES
LU1736,SHELTER INVEST - SHORT TERM INCOME,EUR,20151229,264156  00,,,Domiciliary Agency Fee,EUR,0.00,-728.53,-728.53,25276346.17,            -0.00,-0.002882,,99991231,100.000000,-0.002882260,99991231,             0.00,0.00,,,,,850 ACCRUED EXP.
LU1737,Shelter-Invest Real Estate Low Vol Fd,EUR,20151229,144120  00,,,C.B. Call Deposits RBC IS Bank Luxbg,EUR,0.00,1668927.13,1668927.13,44094283.63,             3.78,3.784906,,99991231,100.000000,3.784905871,99991231,             0.00,0.00,,,,,450 CASH
LU1737,Shelter-Invest Real Estate Low Vol Fd,GBP,20151229,151200  00,,,Income on Shares Port.,EUR,0.00,3744.53,2760.43,44094283.63,             0.01,0.008492,,99991231,100.000000,0.008492099,99991231,             0.00,0.00,,,,,600 RECEIVABLES
LU1737,Shelter-Invest Real Estate Low Vol Fd,EUR,20151229,152001  00,,,Int.Rec.Bank Accounts,EUR,0.00,-302.73,-302.73,44094283.63,            -0.00,-0.000687,,99991231,100.000000,-0.000686552,99991231,             0.00,0.00,,,,,600 RECEIVABLES
