===============================================================================
"EXTENSION NAME","linecount"
"EXTENSION VERSION","0.1.7"
-------------------------------------------------------------------------------

"count time","2018-10-30 18:24:03"
"count workspace","c:\Users\sroyer\Source\Repos\Etl.Net"
"total files","296"
"total code lines","14301"
"total comment lines","499"
"total blank lines","1273"


"filename","code","comment","blank"
"src\Paillave.EtlTests\Extensions\AggregateTests.cs","57","0","6"
"src\Paillave.EtlTests\Extensions\CrossApplyEnumerableTests.cs","48","0","6"
"src\Paillave.EtlTests\Extensions\CrossApplyFolderFiles.cs","75","0","8"
"src\Paillave.EtlTests\Extensions\CrossApplyTests.cs","171","0","25"
"src\Paillave.EtlTests\Extensions\DistinctTests.cs","51","0","5"
"src\Paillave.EtlTests\Extensions\EnsureKeyedTests.cs","110","0","10"
"src\Paillave.EtlTests\Extensions\EnsureSingleTests.cs","71","0","6"
"src\Paillave.EtlTests\Extensions\EnsureSortedTests.cs","89","0","12"
"src\Paillave.EtlTests\Extensions\LeftJoinTests.cs","38","1","4"
"src\Paillave.EtlTests\Reactive\Core\SortDefinitionComparerTests.cs","6","1","0"
"src\Paillave.EtlTests\Reactive\Core\SortDefinitionTests.cs","162","0","21"
"src\Paillave.EtlTests\Reactive\Operators\AggregateGroupedComparableSubject.cs","61","0","4"
"src\Paillave.EtlTests\Reactive\Operators\AggregateGroupedSubjectTest.cs","60","0","4"
"src\Paillave.EtlTests\Reactive\Operators\AggregateSubjectTest.cs","73","0","7"
"src\Paillave.EtlTests\Reactive\Operators\ChunkSubjectTests.cs","87","0","24"
"src\Paillave.EtlTests\Reactive\Operators\CombineWithLatestSubjectTests.cs","44","0","11"
"src\Paillave.EtlTests\Reactive\Operators\CompletesOnExceptionSubjectTests.cs","29","0","1"
"src\Paillave.EtlTests\Reactive\Operators\ConcatenateSubjectTests.cs","98","4","21"
"src\Paillave.EtlTests\Reactive\Operators\DeferedPushObservableTests.cs","87","0","10"
"src\Paillave.EtlTests\Reactive\Operators\DistinctSubjectTests.cs","62","0","22"
"src\Paillave.EtlTests\Reactive\Operators\DistinctUntilChangedSubjectTests.cs","62","0","20"
"src\Paillave.EtlTests\Reactive\Operators\DoSubjectTests.cs","56","0","12"
"src\Paillave.EtlTests\Reactive\Operators\ExceptionOnUnsortedSubjectTests.cs","95","8","13"
"src\Paillave.EtlTests\Reactive\Operators\ExceptionsToObservableSubjectTests.cs","34","0","6"
"src\Paillave.EtlTests\Reactive\Operators\FilterSectionSubjectTests.cs","107","0","17"
